punk_id,txn_num
1728.0,3
1732.0,1
1734.0,1
1735.0,5
1736.0,1
1737.0,11
1739.0,2
1743.0,2
1744.0,2
1745.0,3
1749.0,4
1750.0,2
1752.0,3
1753.0,3
1756.0,1
1757.0,2
1760.0,2
1761.0,1
1762.0,1
1763.0,1
1764.0,4
1765.0,2
1766.0,2
1767.0,5
1769.0,3
1770.0,4
1771.0,4
1773.0,5
1774.0,1
1776.0,4
1777.0,2
1778.0,4
1780.0,3
1781.0,12
1784.0,3
1785.0,1
1786.0,2
1790.0,1
1791.0,9
1793.0,6
1794.0,4
1796.0,6
1797.0,5
1798.0,4
1802.0,5
1803.0,4
1804.0,3
1813.0,2
1814.0,5
1817.0,2
1818.0,1
1819.0,1
1824.0,3
1825.0,5
1828.0,3
1829.0,4
1830.0,5
1831.0,2
1832.0,1
1833.0,3
1834.0,3
1836.0,7
1837.0,1
1838.0,1
1839.0,2
1840.0,1
1841.0,4
1842.0,3
1843.0,1
1846.0,2
1848.0,3
1849.0,1
1851.0,2
1852.0,5
1853.0,4
1854.0,1
1855.0,6
1856.0,1
1857.0,7
1860.0,3
1862.0,2
1866.0,1
1870.0,7
1871.0,1
1872.0,4
1873.0,1
1875.0,2
1878.0,2
1879.0,1
1880.0,4
1881.0,2
1882.0,1
1883.0,1
1884.0,6
1889.0,3
1890.0,6
1891.0,6
1892.0,1
1895.0,1
1896.0,1
1897.0,1
1898.0,3
1899.0,1
1901.0,2
1902.0,3
1904.0,5
1905.0,3
1906.0,1
1907.0,1
1908.0,5
1910.0,1
1912.0,7
1913.0,1
1915.0,6
1916.0,1
1921.0,1
1927.0,1
1932.0,3
1934.0,2
1935.0,1
1936.0,4
1937.0,3
1939.0,1
1941.0,6
1942.0,5
1943.0,2
1944.0,3
1945.0,1
1946.0,3
1947.0,1
1948.0,1
1951.0,2
1953.0,1
1956.0,1
1957.0,1
1958.0,1
1959.0,1
1961.0,4
1962.0,1
1963.0,2
1965.0,2
1966.0,9
1967.0,4
1968.0,1
1970.0,5
1971.0,1
1973.0,1
1977.0,1
1978.0,1
1979.0,2
1980.0,1
1983.0,1
1985.0,1
1987.0,2
1988.0,1
1991.0,6
1992.0,1
1993.0,1
1998.0,1
2002.0,1
2004.0,1
2006.0,5
2008.0,3
2011.0,2
2013.0,2
2014.0,1
2015.0,4
2016.0,3
2017.0,2
2020.0,1
2023.0,5
2024.0,1
2028.0,3
2031.0,4
2032.0,1
2036.0,8
2037.0,3
2038.0,1
2039.0,8
2040.0,1
2041.0,2
2042.0,2
2043.0,9
2044.0,2
2046.0,1
2047.0,2
2048.0,1
2049.0,1
2050.0,4
2054.0,4
2056.0,1
2057.0,1
2058.0,3
2060.0,1
2061.0,5
2063.0,1
2064.0,1
2065.0,2
2066.0,1
2067.0,9
2068.0,2
2069.0,2
2071.0,1
2072.0,1
2073.0,1
2074.0,1
2075.0,1
2077.0,1
2079.0,4
2084.0,1
2086.0,3
2087.0,1
2088.0,5
2094.0,4
2097.0,3
2098.0,1
2099.0,6
