punk_id,usd_diff
1424.0,137316.5592
1425.0,-62.40200000000001
1426.0,175325.91199999998
1430.0,-7678.547500000015
1435.0,8637.296999999999
1436.0,-7324.9000000000015
1439.0,66905.95319999999
1440.0,105743.17799999999
1443.0,277489.905
1446.0,-139481.03089999998
1447.0,143828.49000000002
1448.0,13745.205000000002
1451.0,-24312.420000000006
1454.0,-77753.18399999998
1456.0,77.5414
1458.0,42212.8704
1462.0,62654.741099999985
1463.0,27903.440000000002
1464.0,295719.4835
1467.0,-10656.542200000004
1469.0,1309.2968
1473.0,-29414.392000000007
1474.0,25975.311200000004
1475.0,283338.1225
1476.0,41108.70000000001
1479.0,218.7
1480.0,9469.76000000001
1482.0,28384.47
1489.0,-7642.148100000006
1490.0,43898.5475
1495.0,50694.4844
1502.0,26838.6765
1504.0,75612.70649999999
1507.0,245514.076
1509.0,22.676199999999994
1510.0,9738.774099999999
1512.0,-44.37448
1513.0,30971.339900000006
1514.0,243382.65000000002
1516.0,25923.391300000003
1517.0,62343.600000000006
1519.0,60.16080000000001
1520.0,-33199.648199999996
1521.0,38902.572
1522.0,7840.0565
1523.0,136831.75
1524.0,361.24800000000005
1527.0,30147.714599999992
1532.0,84879.86920000002
1533.0,103909.63500000001
1535.0,31771.320300000007
1537.0,232.757
1539.0,-31.171200000000006
1546.0,155766.16
1548.0,33237.844300000004
1552.0,-6063.734600000003
1555.0,-8.604782871000001
1557.0,302978.228046292
1558.0,40538.94
1561.0,168515.0765
1564.0,1941.4199999999983
1565.0,77.5414
1566.0,26222.95
1575.0,16904.964999999997
1580.0,-53627.78099999999
1581.0,71.3944
1585.0,8263.161
1586.0,12020.581400000003
1587.0,77435.82
1588.0,478882.45
1589.0,19873.948
1590.0,598.3620000000001
1592.0,1857.8824999999997
1594.0,192181.536
1605.0,39262.79000000001
1610.0,68.01700000000001
1611.0,232045.25
1613.0,-134172.83
1614.0,4716.453000000001
1615.0,1106599.0593
1617.0,137.52750000000003
1618.0,13674.844799999999
1622.0,-23440.464999999997
1623.0,59138.625
1624.0,39825.5091
1625.0,44555.52745
1626.0,29377.262300000002
1630.0,23892.66
1631.0,63236.149999999994
1633.0,162236.124
1636.0,357542.35
1638.0,-36.64152
1639.0,50175.664499999984
1640.0,7672.269999999999
1642.0,704.0509
1648.0,14122.145
1649.0,10742.82
1650.0,71902.7254
1651.0,87172.14000000001
1665.0,-4.237419999999986
1667.0,89687.9992
1672.0,-125477.32499999998
1673.0,7172.232000000004
1676.0,63071.98000000001
1677.0,15735.118500000011
1683.0,14983.440000000002
1684.0,13403.5023
1689.0,235042.97000000003
1690.0,16607.674499999997
1691.0,287703.71
1692.0,302006.600768616
1693.0,172473.37500000003
1695.0,227085.996768616
1696.0,166113.84269999998
1697.0,-40259.582200000004
1702.0,5654.603600000002
1703.0,13443.870000000003
1704.0,15462.658000000003
1710.0,128892.81999999998
1711.0,81196.11484300002
1716.0,241057.99819999997
1719.0,-16336.25
1721.0,-262256.85
1722.0,-33847.05750000001
1728.0,136283.94
1735.0,48616.27490000002
1737.0,1623.9199999999983
1739.0,3661.937700000002
1743.0,3010.1845
1744.0,34740.5061
1745.0,56059.90000000002
1749.0,216919.87500000003
1750.0,71632.4917
1752.0,61089.042599999986
1753.0,31330.005000000005
1757.0,-4.737200000000001
1760.0,191.58300000000003
1764.0,13093.903499999986
1765.0,54496.41859999999
1766.0,126177.00919999997
1767.0,11379.736200000014
1769.0,47060.544
1770.0,-95246.794
1771.0,132962.3682
1773.0,62157.5958
1775.0,-82456.14249999999
1776.0,9707.157599999977
1777.0,36958.255000000005
1778.0,18643.803000000004
1780.0,685585.59
1781.0,22344.92499999999
1782.0,77459.5764
1784.0,228.5345
1786.0,34983.060000000005
1788.0,8559.7995
1791.0,8182.415500000003
1793.0,80649.65000000002
1794.0,-54175.29000000001
1796.0,31356.884
1797.0,77590.02
1798.0,34919.56
1802.0,285470.9984
1803.0,20773.419999999984
1804.0,28654.879999999997
1805.0,262025.042768616
1808.0,26974.793899999997
1812.0,25823.602300000006
1813.0,-26027.433299999997
1814.0,10225.010000000002
1817.0,3509.8740000000107
1824.0,7753.4439999999995
1825.0,5974.794000000002
1828.0,50953.78
1829.0,-1805.916799999999
1830.0,5854.42319999999
1831.0,123339.51999999999
1833.0,5488.1783
1834.0,-69317.63
1836.0,28350.540000000008
1839.0,564743.9500000001
1841.0,376.416
1842.0,38.04899999999999
