punk_id,usd_r
503.0,1.8089311900347465
505.0,0.27794576192569376
506.0,1.815358555735225e+28
509.0,144.43049759223624
510.0,0.06750101600228398
512.0,0.6184450309169085
522.0,-0.9826007550202865
534.0,50014855.42854924
538.0,0.3315872084948184
544.0,0.17903173868005173
548.0,828694058.5787815
550.0,0.07949240807170077
551.0,0.7516452422231625
561.0,5.175486244870414
563.0,0.3064951015763515
564.0,0.3927509276064103
570.0,1.3186535518804057
573.0,0.688223861633223
586.0,15.43916401660578
588.0,0.10923056789204377
591.0,477.10420236238565
593.0,0.8408704679923826
596.0,0.24335734854349833
604.0,-0.7215376576527975
608.0,0.8387482117331746
610.0,17.824272372930324
613.0,2.171911488787422e+20
616.0,4308758.761030364
617.0,-0.0003664142187027597
618.0,5.800076926592952e+47
620.0,808.8159703422313
622.0,5.778159826329744
627.0,0.8111937030032126
628.0,22.40735388382902
632.0,23.392171447789337
636.0,25568.706190858735
638.0,1.0769705083553434
639.0,2.513261925865022
642.0,3.027491612443181
643.0,356.8187204356033
648.0,809.3723891752994
650.0,19.011444241118795
660.0,1483.8718872140696
661.0,0.3360460784030921
669.0,0.4973901252197652
678.0,192430559.99802777
682.0,-0.1228544033978417
686.0,4.331621363208544
690.0,735622230.1466548
695.0,0.824431567765
698.0,8.929375481897026
700.0,0.6196710582707992
703.0,0.4971220035492867
704.0,9.707999955991216
709.0,6.054414021619895e+33
713.0,30.822875527654375
715.0,195.34929476709888
716.0,0.3994792338528228
717.0,20.8341112098566
718.0,495.7357613347629
729.0,0.5425476613968494
730.0,0.4173221849357287
735.0,0.38969385898358144
740.0,0.1440539267102512
743.0,0.3748557081710808
749.0,0.19065371146728038
750.0,1.2420498513428448
751.0,1.488238354853547
759.0,12.612105788781099
769.0,320.2819909525152
773.0,2081980.9234127305
774.0,0.38102420499116874
777.0,0.4262141140410576
782.0,7750.7399535092
784.0,1493.5378588573903
793.0,0.2714473711095784
794.0,227911.96856939085
797.0,42440716805999.64
800.0,836.9611332487358
803.0,3.130156385167404
807.0,0.5791957883877192
812.0,0.6481183597748275
814.0,0.31358095547546605
817.0,4.072406630082538
819.0,5.935131282808822
820.0,-0.1170207505264278
824.0,1.394156548488065
825.0,2477.0712108496036
827.0,1.081754775571775
836.0,12.539265899451225
838.0,4.273186697722011
839.0,0.01935840151620849
843.0,15.072297028928684
845.0,0.32988072187059503
852.0,20.974587231044993
853.0,37.72373953212392
855.0,2.063371948455011
857.0,0.8495514186021371
861.0,0.9977784389094841
862.0,16151970.447332298
875.0,0.28945601459562353
877.0,0.46094790018371157
880.0,3.239154185139781
883.0,0.17721922427369452
886.0,831.9445288049683
891.0,12.028743743255227
898.0,3039179.283594603
900.0,0.44675122863804306
906.0,86711744484993.06
907.0,7933.968718701425
913.0,63.05271929160574
914.0,-0.3077921592714531
915.0,0.427874950567658
916.0,0.4529039806127968
920.0,0.546490234596078
923.0,5459626.400420755
924.0,1.5463657503064936
931.0,4.273005236655843
939.0,0.15089101344746547
943.0,-0.05793617840552945
948.0,0.26133804825535734
950.0,-0.3681421568882922
952.0,16.425055974749647
965.0,0.3251585934498673
973.0,2.939192370726021
981.0,17618165482.44985
983.0,-0.19768225017564622
985.0,321.56370934856375
991.0,0.3681569072537263
992.0,0.135037464623603
993.0,0.764904139082027
998.0,1.6622633528891955
1000.0,3754.6073447699364
1001.0,1.7874389200500982
1003.0,1.1712832939553315
1005.0,1.3523251512373813
1006.0,0.1875630494827325
1007.0,0.3820620105616064
1009.0,1.037445566369116
1010.0,0.8138861287760244
1011.0,0.7748932209248418
1013.0,2.0448622823338694
1014.0,0.36204310400018214
1015.0,-0.3495402545938673
1027.0,2.5047761114108984
1029.0,1775.0938793296118
1030.0,1949743954673778.8
1036.0,0.041673412709091195
1041.0,8.717532137217411
1043.0,1.9320982321709557
1044.0,2.628946426354849
1045.0,668558354661284.5
1052.0,0.6602611225842008
1060.0,0.008331650108413413
1062.0,0.2753123875555654
1068.0,-0.5155800827398024
1072.0,1.5459511354454953
1075.0,56188446.69116412
1083.0,-0.1469542252351128
1084.0,1.2018303479415415
1085.0,-0.34849136016683224
