punk_id,unit_in_eth
561.0,0.2021636240703178
563.0,0.029299075952219967
564.0,0.05442641424385847
570.0,0.025690782059950415
573.0,0.07299526707234617
586.0,0.046299301329727295
588.0,0.027045300878972278
591.0,0.009758846067162496
593.0,0.025918413342348432
596.0,0.06469912102772143
604.0,0.003606040117196304
608.0,0.07211854856885283
610.0,0.058909172864548116
613.0,0.045343700698670275
616.0,0.09247013748027946
617.0,0.027811584403876495
618.0,0.12834798287130944
620.0,0.041464953797611
622.0,0.0535068740139734
627.0,0.030428239801667794
628.0,0.06330178048230786
632.0,0.01904439936894298
636.0,0.08564119900833897
638.0,0.0784313725490196
639.0,0.046312823980166784
642.0,0.11834122154608968
643.0,0.05616858237547893
648.0,0.03664412891593419
650.0,0.059722785665990534
660.0,0.06291187739463601
661.0,0.041413116970926304
669.0,0.014678837052062204
678.0,0.009283299526707233
682.0,0.02295695289610097
686.0,0.05133423484336263
690.0,0.03621591165201713
695.0,0.03412215460897003
698.0,0.08845841784989858
700.0,0.03434077079107505
703.0,0.028620689655172414
704.0,0.10491322965967996
709.0,0.0679152580572459
713.0,0.07505070993914807
715.0,0.01293666892044174
716.0,0.051383817894974086
717.0,0.019042145593869735
718.0,0.03628352490421456
729.0,0.016901059274284425
730.0,0.010480054090601758
735.0,0.04167004732927654
740.0,0.04281947261663286
743.0,0.017401397340545414
749.0,0.016901059274284425
750.0,0.05226504394861393
751.0,0.042314627000225376
759.0,0.03599954924498535
769.0,0.1378589136804147
773.0,0.050144241604687854
774.0,0.036285778679287804
777.0,0.004617985125084516
782.0,0.047070092404778004
784.0,0.06670948839305837
793.0,0.12642551273382918
794.0,0.07933288257831868
797.0,0.05559612350687401
800.0,0.058782961460446245
803.0,0.02251521298174442
807.0,0.013702952445345954
812.0,0.005859815190443994
814.0,0.06916159567275186
817.0,0.04047780031552851
819.0,0.005859815190443994
820.0,0.022964841108857336
824.0,0.06017579445571332
825.0,0.019154834347532117
827.0,0.05533017804823079
836.0,0.04297949064683344
838.0,0.0007910750507099391
839.0,0.012724814063556456
843.0,0.05749199909848997
845.0,0.012285327924273157
852.0,0.03195853053865225
853.0,0.006648636466080685
855.0,0.05131620464277665
857.0,0.04958305161144918
861.0,0.032600856434527835
862.0,0.02798963263466306
875.0,0.0008113590263691683
877.0,0.08715348208248816
880.0,0.03222898354744196
883.0,0.03617534370069867
886.0,0.030238900157764252
891.0,0.0831620464277665
898.0,0.03993013297272933
900.0,0.03975208474194275
906.0,0.028406581023213882
907.0,0.0410682893847194
913.0,0.04731800766283525
914.0,0.008451656524678837
915.0,0.039531214784764485
916.0,0.04011719630380888
920.0,0.1326324092855533
923.0,0.04667342799188641
924.0,0.09492675231011945
931.0,0.0007910750507099391
939.0,0.029299075952219967
943.0,0.030200585981519045
948.0,0.03718728870858688
950.0,0.0001803020058598152
952.0,0.04782059950416948
965.0,0.002028397565922921
973.0,0.04169258508000902
981.0,0.010022537750732476
983.0,0.04778003155285102
985.0,0.06265494703628578
991.0,0.03695740365111562
992.0,0.008293892269551498
993.0,0.006648636466080685
998.0,0.0019585305386522426
1000.0,0.04634663060626549
1001.0,0.049764480504845617
1003.0,0.009916610322289835
1005.0,0.016227180527383367
1006.0,0.01650664863646608
1007.0,0.022650439486139283
1009.0,0.06265494703628578
1010.0,0.01532567049808429
1011.0,0.0526369168356998
1013.0,0.055873337840883476
1014.0,0.022645931935992788
1015.0,0.02032905116069416
1027.0,0.06878746901059275
1029.0,0.04873788595898129
1030.0,0.017286454811809782
1036.0,0.0002591841334234843
1041.0,0.011246337615505973
1043.0,0.04459770114942529
1044.0,0.008023439260761777
1045.0,0.03344602208699572
1052.0,0.00018931710615280596
1054.0,0.010651340996168582
1060.0,0.0003020058598151904
1062.0,0.01729772368717602
